SENSOR_ID,FP_ID,LOC_ID,FROM_DATETIME,TO_DATETIME,LAT,LON,web_id,batt_%,first_soilMes,last_soilMes,nNAs_soilMes,NAsRatio_soilMes,notes
PI040298AD5I210661,1112,phXvcqFMYE1552661728870,2019-05-01 07:40:53,2019-07-30 07:40:53,37.1386386887476,-8.63359501020992,ALG_VDL_SB07-1112,66,2019-03-15 15:15:00,2019-07-28 08:45:00,134,0.0102564102564103,
PI040298AD5I214008,4E71,BlYN9wFDHv1535457052190,2019-05-01 07:40:53,2019-07-30 07:40:53,37.1384628549096,-8.63428816787675,ALG_VDL_SB06-4E71,100,2018-08-26 10:45:00,2019-07-28 09:00:00,134,0.00413797362813822,
PI040298AD5I213035,553F,8xgiIQ6Zt11535456761202,2019-05-01 07:40:53,2019-07-30 07:40:53,37.1384628549096,-8.63428816787675,ALG_VDL_SB09-553F,100,2018-08-26 11:00:00,2019-07-28 08:45:00,134,0.00413810141436601,
PI040298AD5I210983,0F2F,KQKkJXgCcI1553613301729,2019-05-01 07:40:53,2019-07-30 07:40:53,37.1391255329508,-8.63363300738084,ALG_VDL_Ss01*-0F2F,68,2019-03-26 15:30:00,2019-07-28 08:30:00,135,0.0112425049966689,
PI040298AD5I213389,C718,TYwWIb6UZz1553613995621,2019-05-01 07:40:53,2019-07-30 07:40:53,37.139229958953,-8.63356721143994,ALG_VDL_Ss02*-C718,67,2019-03-26 15:45:00,2019-07-28 08:30:00,135,0.0112434413258932,
PI040298AD5I212862,C15F,e76687LEp41553618553317,2019-05-01 07:40:53,2019-07-30 07:40:53,37.1392348650421,-8.63334486488551,ALG_VDL_Ss12*-C15F,64,2019-03-26 17:00:00,2019-07-28 08:30:00,135,0.0112481253124479,
PI040298AD5G203983,CF45,Lvm7mAWVLJ1553615611974,2019-05-01 07:40:53,2019-07-30 07:40:53,37.1393304001739,-8.63346528140333,ALG_VDL_Ss06*-CF45,60,2019-03-26 16:15:00,2019-07-28 08:45:00,136,0.0113286130778842,
PI040298AD5I212788,FEA8,pXor4xm37Z1535277095914,2019-05-01 07:40:53,2019-07-30 07:40:53,37.13820901,-8.635637127,Alg_vdl_Wz01-FEA8,10,2018-08-26 11:00:00,2019-07-28 09:00:00,137,0.00423074547588166,0:0
PI040298AD5I213124,642E,5ABw42EwZS1535279371573,2019-05-01 07:40:53,2019-07-30 07:40:53,37.1383739678945,-8.63563728306547,ALG_VDL_TS01-642E,15,2018-08-26 11:45:00,2019-07-28 09:00:00,137,0.00423113746564131,
PI040298AD5I213167,0575,92aKeQ9DKG1535452625664,2019-05-01 07:40:53,2019-07-30 07:40:53,37.1387846359273,-8.63496553720071,ALG_VDL_TS11-0575,100,2018-08-28 11:45:00,2019-07-28 09:15:00,137,0.00425637679808618,
PI040298AD5I212106,586F,LnsQRG3RFc1535222293129,2019-05-01 07:40:53,2019-07-30 07:40:53,37.13898291,-8.631051807,ALG_VDL_Sb01-586F,100,2018-08-25 20:00:00,2019-07-28 08:45:00,138,0.00425374514518217,0:0
PI040298AD5I212632,2BB7,0wuGkGKKZ71535456384667,2019-05-01 07:40:53,2019-07-30 07:40:53,37.1382209719975,-8.63524307661699,ALG_VDL_SB12-2BB7,100,2018-08-26 11:15:00,2019-07-28 08:45:00,138,0.00426175843859053,
PI040298AD5I213836,4704,agl8HPwFpS1535278218371,2019-05-01 07:40:53,2019-07-30 07:40:53,37.13852207,-8.635951029,ALG_VDL_WZ06-4704,100,2018-08-26 11:30:00,2019-07-28 09:00:00,138,0.00426189005558987,0:0
PI040298AD5I212667,249F,15VPzoVR991535190110536,2019-05-01 07:40:53,2019-07-30 07:40:53,37.1392320114255,-8.63343243218945,ALG_VDL_Ss08-249F,7,2018-08-25 10:45:00,2019-07-28 08:30:00,139,0.00427968841405216,
PI040298AD5I212289,07B7,PBtqf1MIuR1552661068243,2019-05-01 07:40:53,2019-07-30 07:40:53,37.1388302137528,-8.6322132497751,ALG_VDL_SB03-07B7,65,2019-03-15 15:00:00,2019-07-28 07:15:00,140,0.0107148323894076,
PI040298AD5I213504,3462,MiMGWDmVRH1553615059520,2019-05-01 07:40:53,2019-07-30 07:40:53,37.139192788856,-8.6335104647513,ALG_VDL_Ss05*-3462,62,2019-03-26 16:00:00,2019-07-28 08:30:00,158,0.013160086623355,
PI040298AD5I206943,8F37,kMsaAeqhsp1554017141330,2019-05-01 07:40:53,2019-07-30 07:40:53,37.1394359649883,-8.62972720158846,ALG_VDL_FE01-8F37,72,2019-03-31 08:45:00,2019-07-27 19:45:00,186,0.0160913573838567,
PI040298AD5G204458,D85E,m6IhoSq7O91554018021722,2019-05-01 07:40:53,2019-07-30 07:40:53,37.140396045494,-8.62928328455379,ALG_VDL_NF01-D85E,71,2019-03-31 09:00:00,2019-07-27 19:45:00,186,0.0160927496106593,
PI040298AD5G202510,4F85,O3V7aL33zj1553941349665,2019-05-01 07:40:53,2019-07-30 07:40:53,37.141906521262,-8.62772461738462,ALG_VDL_LL10-4F85,68,2019-03-30 10:30:00,2019-07-27 19:30:00,187,0.0160597732737891,
PI040298AD5I213394,B3DA,V8QlGr8G5a1553962451243,2019-05-01 07:40:53,2019-07-30 07:40:53,37.1400203458921,-8.62864444773639,ALG_VDL_EF01-B3DA,70,2019-03-30 16:30:00,2019-07-27 19:30:00,187,0.0160929432013769,
PI040298AD5I212865,C12E,eyNBF2epky1553963264513,2019-05-01 07:40:53,2019-07-30 07:40:53,37.1397147373442,-8.62867555159317,ALG_VDL_EF02-C12E,67,2019-03-30 16:45:00,2019-07-27 19:30:00,187,0.0160943282554437,
PI040298AD5G200986,4E44,HstSaFxeCZ1553938982130,2019-05-01 07:40:53,2019-07-30 07:40:53,37.1426218113736,-8.62670797171837,ALG_VDL_LL07-4E44,71,2019-03-30 10:00:00,2019-07-27 19:15:00,188,0.016142881676112,
PI040298AD5G202379,4FD2,MezEmauMcn1553936465181,2019-05-01 07:40:53,2019-07-30 07:40:53,37.1442285240093,-8.6280606100996,ALG_VDL_LL04-4FD2,70,2019-03-30 09:15:00,2019-07-27 19:15:00,188,0.0161387243540218,
PI040298AD5I209116,9B35,2xc1jI7Mys1553937523928,2019-05-01 07:40:53,2019-07-30 07:40:53,37.143791143338,-8.62704294811653,ALG_VDL_LL05-9B35,70,2019-03-30 09:30:00,2019-07-27 19:15:00,188,0.0161401098901099,
PI040298AD5I213247,4D60,RAl3wIW3bx1553938235478,2019-05-01 07:40:53,2019-07-30 07:40:53,37.1438603966673,-8.62532668917986,ALG_VDL_LL06-4D60,71,2019-03-30 09:45:00,2019-07-27 19:15:00,188,0.0161414956641195,
PI040298AD5I209222,75E0,DGAp6jaY6E1553940534009,2019-05-01 07:40:53,2019-07-30 07:40:53,37.1408996965353,-8.62691176890927,ALG_VDL_LL09-75E0,72,2019-03-30 10:15:00,2019-07-27 19:15:00,188,0.0161442679261486,
PI040298AD5I212794,FF0C,6Fm9sdmnPT1553939848187,2019-05-01 07:40:53,2019-07-30 07:40:53,37.1417333184065,-8.62635150554939,ALG_VDL_LL08-FF0C,70,2019-03-30 10:15:00,2019-07-27 19:15:00,188,0.0161442679261486,
PI040298AD5I212954,04A7,OgtbvFJDa71552654297903,2019-05-01 07:40:53,2019-07-30 07:40:53,37.1393937868459,-8.63079471181086,ALG_VDL_Fr-01-04A7,67,2019-03-15 13:00:00,2019-07-27 19:00:00,189,0.0144561725562185,
PI040298AD5I212808,C701,NKvZCkOBJF1553935977451,2019-05-01 07:40:53,2019-07-30 07:40:53,37.143534132551,-8.62838663125625,ALG_VDL_LL03-C701,72,2019-03-30 09:00:00,2019-07-27 19:00:00,189,0.0162231759656652,
PI040298AD5I212432,B1C9,3fxbz0a8WU1553935347943,2019-05-01 07:40:53,2019-07-30 07:40:53,37.142873642697,-8.62850041347705,ALG_VDL_LL02-B1C9,70,2019-03-30 09:00:00,2019-07-27 19:00:00,189,0.0162231759656652,
PI040298AD5I214120,3185,w3ekZJSYoQ1542459950561,2019-05-01 07:40:53,2019-07-30 07:40:53,37.1412188081633,-8.63083056500579,ALG_VDL_LG01-3185,40,2019-01-04 19:15:00,2019-07-27 19:00:00,235,0.0118872982953108,
PI040298AD5I212135,2D1F,X2KKrNKaU61535452887181,2019-05-01 07:40:53,2019-07-30 07:40:53,37.1388664862417,-8.6345981000569,ALG_VDL_TS10-2D1F,99,2018-08-28 12:00:00,2019-07-28 09:15:00,268,0.00832660162803704,
PI040298AD5I206247,5991,oQPpcXdSeR1531387325357,2019-05-01 07:40:53,2019-07-30 07:40:53,37.1394531703043,-8.63081180162469,Fw01-5991,64,2018-08-17 12:00:00,2019-07-27 19:45:00,335,0.0100776126586848,
PI040298AD5I208806,7C4B,NovY1r8ej51535454249451,2019-05-01 07:40:53,2019-07-30 07:40:53,37.138494092459,-8.63476108910324,ALG_VDL_TS05-7C4B,100,2018-08-28 12:15:00,2019-07-28 09:00:00,351,0.010905701413702,
PI040298AD5I212141,35E2,HF0Z1gIeVp1534850507740,2019-05-01 07:40:53,2019-07-30 07:40:53,37.1398404525955,-8.63566548562686,ALG_VDL_Mn07-35E2,100,2018-08-21 12:30:00,2019-07-29 07:45:00,391,0.011900413927441,
PI040298AD5I211046,2EB1,ywUpTzoVJg1535451070883,2019-05-01 07:40:53,2019-07-30 07:40:53,37.1390917129152,-8.6342923545556,ALG_VDL_TS15-2EB1,100,2018-08-28 11:30:00,2019-07-28 18:30:00,458,0.0142289051820554,
PI040298AD5I212864,C14B,aUZAkebdeq1553760025062,2019-05-01 07:40:53,2019-07-30 07:40:53,37.1408585974201,-8.6325494512606,ALG_VDL_ER02*-C14B,68,2019-03-28 08:15:00,2019-07-29 09:00:00,618,0.0521739130434783,
PI040298AD5I212585,FF63,hF9nVKFI6P1535453119429,2019-05-01 07:40:53,2019-07-30 07:40:53,37.1389782906126,-8.63424362173548,ALG_VDL_TS09-FF63,100,2018-08-28 12:00:00,2019-07-28 09:00:00,625,0.0194183806623998,
PI040298AD5I208445,6536,Ifw170k66Q1533056569306,2019-05-01 07:40:53,2019-07-30 07:40:53,37.1392702562763,-8.63614063873349,ALG_VDL_Tn14-6536,100,2018-08-17 12:00:00,2019-07-29 08:30:00,1057,0.031797124120089,
PI040298AD5I213527,60CB,TCFvnJZINF1535470271518,2019-05-01 07:40:53,2019-07-30 07:40:53,37.1399404598272,-8.63176123132114,ALG_VDL_SS37-60CB,100,2018-08-25 18:30:00,2019-07-29 17:45:00,1104,0.0340236686390533,
PI040298AD5I214003,3757,tiSvZU4Xv81534872148273,2019-05-01 07:40:53,2019-07-30 07:40:53,37.1404057850978,-8.63541277004578,ALG_VDL_Mn37-3757,100,2018-08-21 18:30:00,2019-07-29 08:45:00,1114,0.0339303118908382,
PI040298AD5I212921,5F14,I7HZtYJqzw1535193132130,2019-05-01 07:40:53,2019-07-30 07:40:53,37.139391302219,-8.63293890035322,ALG_VDL_Ss24-5F14,11,2018-08-25 11:45:00,2019-07-29 18:00:00,1145,0.0352578906851424,
PI040298AD5I213293,5BF1,p5aBoWBeSq1553934651003,2019-05-01 07:40:53,2019-07-30 07:40:53,37.1425840910881,-8.62782954494742,ALG_VDL_LL01-5BF1,73,2019-03-30 08:45:00,2019-07-27 19:00:00,1306,0.112093382542271,
PI040298AD5I210659,C488,PshDHbDAJL1533050332875,2019-05-01 07:40:53,2019-07-30 07:40:53,37.1393986996741,-8.63470392678922,ALG_VDL_Tn03-C488,100,2018-08-17 12:00:00,2019-07-28 18:30:00,1392,0.0418747367787738,
PI040298AD5I213936,947E,YaOFT1wYaN1535222231822,2019-05-01 07:40:53,2019-07-30 07:40:53,37.1389362971288,-8.63164808578282,ALG_VDL_Sb02-947E,97,2018-08-25 19:45:00,2019-07-28 08:45:00,1469,0.0452794131245569,
PI040298AD5I212917,5EC4,PntEIJl8sm1534873773800,2019-05-01 07:40:53,2019-07-30 07:40:53,37.1404475396936,-8.63501650937595,ALG_VDL_Mn46-5EC4,100,2018-08-21 19:00:00,2019-07-29 08:30:00,1547,0.0471215351812367,
PI040298AD5I213420,392B,mDOSxUTaS01534849950866,2019-05-01 07:40:53,2019-07-30 07:40:53,37.1398819704364,-8.63526069498754,ALG_VDL_Mn05-392B,100,2018-08-21 12:30:00,2019-07-29 07:45:00,1836,0.0558802045288532,
PI040298AD5I213912,1659,nSc3coxo561535220123471,2019-05-01 07:40:53,2019-07-30 07:40:53,37.1392109040649,-8.6309329045655,ALG_VDL_Ss53-1659,100,2018-08-25 19:15:00,2019-07-29 17:45:00,1847,0.0569271074125443,
PI040298AD5I212829,07AA,mGXhZexuNK1536583980883,2019-05-01 07:40:53,2019-07-30 07:40:53,37.1389078635636,-8.63348880861954,ALG_VDL_Ss58-07AA,78,2018-08-26 10:15:00,2019-07-28 09:15:00,1866,0.0576192681797128,
PI040298AD5I212535,0876,sUUIJFT7cL1535453451771,2019-05-01 07:40:53,2019-07-30 07:40:53,37.1388996629387,-8.63396241241265,ALG_VDL_TS08-0876,16,2018-08-28 12:00:00,2019-07-28 09:00:00,1897,0.0589386689865159,
PI040298AD5G201682,1CA2,yiS8fE2DmG1534871621291,2019-05-01 07:40:53,2019-07-30 07:40:53,37.1404057850978,-8.63541277004578,ALG_VDL_Mn34-1CA2,100,2018-08-21 18:30:00,2019-07-29 08:30:00,2086,0.063535575048733,
PI040298AD5G202636,4176,qpjvoVkime1534870667080,2019-05-01 07:40:53,2019-07-30 07:40:53,37.1402325549045,-8.63535344442288,ALG_VDL_Mn31-4176,100,2018-08-21 18:15:00,2019-07-29 08:15:00,2111,0.0642950689854719,
PI040298AD5I212139,2D46,bFqZZnoxk21535454015361,2019-05-01 07:40:53,2019-07-30 07:40:53,37.1387182447023,-8.63455445394471,ALG_VDL_TS06-2D46,13,2018-08-28 12:15:00,2019-07-28 09:00:00,2318,0.0720211278545907,
PI040298AD5I211329,A06F,b9y2LYwYn51535218609246,2019-05-01 07:40:53,2019-07-30 07:40:53,37.1393255453694,-8.63201479911053,ALG_VDL_Ss43-A06F,12,2018-08-25 18:45:00,2019-07-29 18:00:00,2678,0.0825345948778007,
PI040298AD5G203720,CF87,KEuEizqP8E1535298576003,2019-05-01 07:40:53,2019-07-30 07:40:53,37.1408876828057,-8.63402680914387,ALG_VDL_Og01-CF87,100,2018-08-26 17:00:00,2019-07-29 09:15:00,2744,0.0848012856171581,
