LAT,LON,SENSOR_ID,FP_ID,LOC_ID,FROM_DATETIME,TO_DATETIME
37.1391308108068,-8.63339052842582,PI040298AD5I214057,3390,ln7GJkYJoH1535190707803,2018-10-12 12:46:00,2019-01-10 12:46:00
37.1404475396936,-8.63501650937595,PI040298AD5I212917,5EC4,PntEIJl8sm1534873773800,2018-10-12 12:46:00,2019-01-10 12:46:00
37.1404475396936,-8.63501650937595,PI040298AD5I213557,5766,oRdZEjqZC81534873425100,2018-10-12 12:46:00,2019-01-10 12:46:00
37.139206121734,-8.6331614149763,PI040298AD5I213048,4AA5,W0fxRKS00W1535191896310,2018-10-12 12:46:00,2019-01-10 12:46:00
37.1412188081633,-8.63083056500579,PI040298AD5I214120,3185,w3ekZJSYoQ1542459950561,2018-10-12 12:46:00,2019-01-10 12:46:00
37.1384509338984,-8.6362008719156,PI040298AD5I213081,926F,VmsfTVaWvU1535455620265,2018-10-12 12:46:00,2019-01-10 12:46:00
37.1388996629387,-8.63396241241265,PI040298AD5I212535,0876,sUUIJFT7cL1535453451771,2018-10-12 12:46:00,2019-01-10 12:46:00
37.1385232731897,-8.63510403342741,PI040298AD5I205667,66C4,QCXimA0HlX1535454572288,2018-10-12 12:46:00,2019-01-10 12:46:00
37.1383959899351,-8.63561140725574,PI040298AD5G204883,9FAC,971lMaOAbh1535455037186,2018-10-12 12:46:00,2019-01-10 12:46:00
37.1399404598272,-8.63176123132114,PI040298AD5I213228,5259,bP51T7I4eP1535470022826,2018-10-12 12:46:00,2019-01-10 12:46:00
37.1394840876003,-8.6320246183177,PI040298AD5I213561,58DD,sJCZG81o1O1535218842733,2018-10-12 12:46:00,2019-01-10 12:46:00
37.1395201043047,-8.63239301002134,PI040298AD5I213129,61FC,n9vymDOacG1535218280769,2018-10-12 12:46:00,2019-01-10 12:46:00
37.1397135964553,-8.6324260328313,PI040298AD5I213175,08CC,xooPS0o4Ad1535217728753,2018-10-12 12:46:00,2019-01-10 12:46:00
